componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"METODOLOGIA DA PESQUISA EM EDUCAÇÃO FÍSICA","PPGEF0001","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","RAPHAEL FABRICIO DE SOUZA, FELIPE JOSE AIDAR MARTINS","5T1234","7","12","7","REGULAR","25/06/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGEF0024","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JYMMYS LOPES DOS SANTOS, LUCIO MARQUES VIEIRA SOUZA, FELIPE JOSE AIDAR MARTINS","5T56","18","30","18","REGULAR","05/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO PERMANENTE DE PESQUISA - IV","PSICO0125","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARCUS EUGENIO OLIVEIRA LIMA","5T6  5N1","10","25","10","REGULAR","13/12/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO PERMANENTE DE PESQUISA - I","PSICO0122","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","RAQUEL MEISTER KO FREITAG","3T6  3N1","7","25","6","REGULAR","23/06/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA CIENTÍFICA","PROR0020","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","SILVÂNIO SILVÉRIO LOPES DA COSTA, ADNIVIA SANTOS COSTA MONTEIRO","2T56","21","30","20","REGULAR","07/07/2021","CONSOLIDADA","PRESENCIAL"
"PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS","PROR0002","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANTENOR DE OLIVEIRA AGUIAR NETTO","4M3456","23","30","20","REGULAR","13/08/2021","CONSOLIDADA","PRESENCIAL"
"INTRODUÇÃO AO GEOPROCESSAMENTO","PROR0028","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANDRE QUINTAO DE ALMEIDA","3M345","16","30","16","REGULAR","29/07/2021","CONSOLIDADA","PRESENCIAL"
"QUALIDADE DA ÁGUA","PROR0026","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSE DO PATROCINIO HORA ALVES","5M1234","15","30","15","REGULAR","06/07/2021","CONSOLIDADA","PRESENCIAL"
"INTERAÇÕES SOLO E ÁGUA EM SISTEMAS AMBIENTAIS","PROR0007","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARIA ISIDORIA SILVA GONZAGA","6M123","8","30","7","REGULAR","09/08/2021","CONSOLIDADA","PRESENCIAL"
"SOCIEDADE, NATUREZA E DESENVOLVIMENTO: FUNDAMENTOS","DMAR0011","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","CAE RODRIGUES","6M1234","10","20","8","REGULAR","21/07/2021","CONSOLIDADA","PRESENCIAL"
"MEIO AMBIENTE E INTERDISCIPLINARIDADE","DMAR0037","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROSEMERI MELO E SOUZA, MARIA JOSE NASCIMENTO SOARES","5T123456","17","20","15","REGULAR","18/06/2021","CONSOLIDADA","PRESENCIAL"
"DESENVOLVIMENTO E SUSTENTABILIDADE NO BRASIL","DMAR0010","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ADAUTO DE SOUZA RIBEIRO","2M345","8","20","6","REGULAR","13/07/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIAS DE ESTUDOS DOS IMPACTOS AMBIENTAIS","DMAR0050","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROSEMERI MELO E SOUZA","2T34","7","20","7","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"DESENVOLVIMENTO E SUSTENTABILIDADE NO BRASIL","DESMA0079","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","NUBIA DIAS DOS SANTOS","2M345","21","30","21","REGULAR","15/07/2021","CONSOLIDADA","PRESENCIAL"
"INSTRUMENTAL E TÉCNICAS DE PESQUISA","DESMA0045","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JAILTON DE JESUS COSTA, DANIELA TEODORO SAMPAIO","4T123","31","33","29","REGULAR","30/06/2021","CONSOLIDADA","PRESENCIAL"
"LÓGICA E CRÍTICA DA INVESTIGAÇÃO CIENTÍFICA","DESMA0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROSANA DE OLIVEIRA SANTOS BATISTA","3T123","28","35","26","REGULAR","23/07/2021","CONSOLIDADA","PRESENCIAL"
"SOCIEDADE, NATUREZA E DESENVOLVIMENTO: FUNDAMENTOS.","DESMA0031","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ALBERICO NOGUEIRA DE QUEIROZ","6M1234","22","30","21","REGULAR","21/07/2021","CONSOLIDADA","PRESENCIAL"
"DEFEITOS EM SÓLIDOS","FISIC0221","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ADILMO FRANCISCO DE LIMA","2M2345","3","2","2","REGULAR","20/07/2021","CONSOLIDADA","PRESENCIAL"
"ELETROCERÂMICAS","FISIC0212","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARCELO ANDRADE MACEDO","35M12","1","1","1","REGULAR","28/06/2021","CONSOLIDADA","PRESENCIAL"
"MAGNETISMO EM SÓLIDOS I","FISIC0209","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARCELO ANDRADE MACEDO","35T12","4","4","4","REGULAR","28/06/2021","CONSOLIDADA","PRESENCIAL"
"FÍSICA DAS RADIAÇÕES IONIZANTES","FISIC0184","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","DIVANIZIA DO NASCIMENTO SOUZA","3T1234","5","5","5","REGULAR","16/07/2021","CONSOLIDADA","PRESENCIAL"
"TEORIA QUÂNTICA I","FISIC0004","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ZELIA SOARES MACEDO, MARIO ERNESTO GIROLDO VALERIO","24M345","9","30","9","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"SOCIALIZAÇÃO E AS ATITUDES RACIAIS EM CRIANÇAS","PSICO0155","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","DALILA XAVIER DE FRANCA","2T1234","16","16","16","REGULAR","13/08/2021","CONSOLIDADA","PRESENCIAL"
"ESTADO, SOCIEDADE E ADMINISTRAÇÃO PÚBLICA","PADP0001","TURMA 01","NÃO INFORMADO","Local a Definir","2021","1","12/04/2021","23/07/2021","KLEVERTON MELO DE CARVALHO","2T2345","15","20","13","REGULAR","30/07/2021","CONSOLIDADA","PRESENCIAL"
"FINANÇAS PÚBLICAS E GESTÃO ORÇAMENTÁRIA","PADP0005","TURMA 01","NÃO INFORMADO","Local a Definir","2021","1","12/04/2021","23/07/2021","ABIMAEL MAGNO DO OURO FILHO","4T6  4N123","19","20","17","REGULAR","26/07/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS AVANÇADOS EM PROCESSOS SOCIAIS E RELAÇÕES INTERGRUPAIS - I","PSICO0180","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","RAQUEL MEISTER KO FREITAG, HECTOR JULIAN TEJADA HERRERA","5T2345","9","25","9","REGULAR","28/07/2021","CONSOLIDADA","PRESENCIAL"
"DOCÊNCIA NO ENSINO SUPERIOR EM EDUCAÇÃO FÍSICA","PPGEF0003","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","AFRANIO DE ANDRADE BASTOS","34T56","20","24","20","REGULAR","26/07/2021","CONSOLIDADA","PRESENCIAL"
"FÍSICA ESTATÍSTICA","FISIC0010","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","LUCIANO CASARINI","35M345","9","30","9","REGULAR","20/07/2021","CONSOLIDADA","PRESENCIAL"
"COLÓQUIO DE DOUTORANDO I","SOCIO0216","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","VILMA SOARES DE LIMA BARBOSA","4T1234","11","20","11","REGULAR","15/07/2021","CONSOLIDADA","PRESENCIAL"
"EPISTEMOLOGIA E SOCIOLOGIA","SOCIO0140","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROGERIO PROENCA DE SOUSA LEITE","3M3456","18","20","16","REGULAR","21/09/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS AVANÇADOS EM TEORIAS SOCIOLÓGICAS","SOCIO0164","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","FERNANDA RIOS PETRARCA","5T1234","17","20","16","REGULAR","07/12/2021","CONSOLIDADA","PRESENCIAL"
"TEORIAS SOCIOLÓGICAS","SOCIO0117","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARCELO ALARIO ENNES","4T1234","12","20","11","REGULAR","26/09/2021","CONSOLIDADA","PRESENCIAL"
"SOCIOLOGIA ECONÔMICA","SOCIO0158","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARINA DE SOUZA SARTORE","5M1234","5","20","4","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"IDENTIDADES E PODER NAS CIÊNCIAS SOCIAIS","SOCIO0236","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARCO AURELIO DIAS DE SOUZA, FRANK NILTON MARCON","2M3456","33","30","30","REGULAR","19/08/2021","CONSOLIDADA","PRESENCIAL"
"ESTATÍSTICA APLICADA","CIVIL0003","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ALCIGEIMES BATISTA CELESTE, LUDMILSON ABRITTA MENDES","5M345","15","25","14","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"MÉTODOS APROXIMADOS","CIVIL0031","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","DAVID LEONARDO NASCIMENTO DE FIGUEIREDO AMORIM","6M345","6","15","5","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"CONSTRUÇÃO CIVIL","CIVIL0004","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","DEBORA DE GOIS SANTOS","3M345","6","15","6","REGULAR","03/07/2021","CONSOLIDADA","PRESENCIAL"
"QUALIDADE DE ÁGUA","CIVIL0053","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","LUCIANA COELHO MENDONCA, DENISE CONCEICAO DE GOIS SANTOS MICHELAN","4M345","4","15","4","REGULAR","13/07/2021","CONSOLIDADA","PRESENCIAL"
"ELEMENTOS FINITOS","CIVIL0032","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","FABIO CARLOS DA ROCHA","3M345","3","20","2","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"MECÂNICA DOS PAVIMENTOS","CIVIL0036","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","FERNANDO SILVA ALBUQUERQUE","2M345","3","15","3","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"ESTABILIZAÇÃO E REFORÇO DE SOLOS","CIVIL0048","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","GUILHERME BRAVO DE OLIVEIRA ALMEIDA","4M345","5","20","5","REGULAR","12/07/2021","CONSOLIDADA","PRESENCIAL"
"OTIMIZAÇÃO NA ENGENHARIA","CIVIL0020","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","NILMA FONTES DE ARAUJO ANDRADE","2M345","8","15","7","REGULAR","04/07/2021","CONSOLIDADA","PRESENCIAL"
"TEORIA DAS ORGANIZAÇÕES","PADP0003","TURMA 01","NÃO INFORMADO","Local a Definir","2021","1","12/04/2021","23/07/2021","ROSANGELA SARMENTO SILVA","3T6  3N123","15","20","0","REGULAR",,"CANCELADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM HISTÓRIA CULTURAL","PROH0013","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANTONIO LINDVALDO SOUSA","6T1234","16","35","15","REGULAR","28/06/2021","CONSOLIDADA","PRESENCIAL"
"CULTURA, SOCIEDADE E PODER","PROH0020","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","CELIA COSTA CARDOSO, CAMILA BARRETO SANTOS AVELINO DORNELLES","3M2345","30","35","27","REGULAR","26/07/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM HISTÓRIA E PODER","PROH0012","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ALFREDO JULIEN, EDNA MARIA MATOS ANTONIO","5N1234","14","30","13","REGULAR","21/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS I","BIOPA0039","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANA ANDREA TEIXEIRA BARBOSA","4M5","13","15","13","REGULAR","28/06/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA","BIOPA0008","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","VERA LUCIA CORREIA FEITOSA","4M34","14","20","14","REGULAR","02/07/2021","CONSOLIDADA","PRESENCIAL"
"BIOESTATÍSTICA","BIOPA0024","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSE RODRIGO SANTOS SILVA","5M345","14","15","14","REGULAR","02/07/2021","CONSOLIDADA","PRESENCIAL"
"PROTOZOOLOGIA","BIOPA0022","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","LUCIANE MORENO STORTI DE MELO","6M34","14","15","14","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"HELMINTOLOGIA","BIOPA0034","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","18/05/2021","VICTOR FERNANDO SANTANA LIMA","3M345","14","15","14","REGULAR","07/06/2021","CONSOLIDADA","PRESENCIAL"
"EPIDEMIOLOGIA","BIOPA0046","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROSELI LA CORTE DOS SANTOS","2T12","12","20","12","REGULAR","27/06/2021","CONSOLIDADA","PRESENCIAL"
"FARMÁCIA, SAÚDE E SOCIEDADE","FARMA0041","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","WELLINGTON BARROS DA SILVA","5M3456","27","27","27","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS AVANÇADOS EM QUÍMICA E FARMACOLOGIA DE PRODUTOS NATURAIS","FARMA0069","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","22/03/2021","09/04/2021","JULLYANA DE SOUZA SIQUEIRA QUINTANS, CRISTIANI ISABEL BANDERO WALKER, MARCELO CAVALCANTE DUARTE, ADRIANA GIBARA GUIMARÃES, MAIRIM RUSSO SERAFINI, LUCINDO JOSE QUINTANS JUNIOR","2346M234","15","20","15","REGULAR","03/08/2021","CONSOLIDADA","PRESENCIAL"
"TEORIAS DO CAMPO DA COMUNICAÇÃO","PPGCO0026","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","GREICE SCHNEIDER, CARLOS EDUARDO FRANCISCATO","3T3456","20","20","20","REGULAR","17/02/2022","CONSOLIDADA","PRESENCIAL"
"METODOLOGIAS DE PESQUISA EM COMUNICAÇÃO","PPGCO0027","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","SONIA AGUIAR LOPES","5T3456","16","20","16","REGULAR","11/08/2021","CONSOLIDADA","PRESENCIAL"
"ESTUDOS DA AUDIÊNCIA E DA RECEPÇÃO","PPGCO0036","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","VITOR JOSE BRAGA MOTA GOMES, RAQUEL MARQUES CARRIÇO FERREIRA","2T3456","13","25","13","REGULAR","12/07/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM PRODUTOS, PROCESSOS E DISCURSOS MIDIÁTICOS","PPGCO0037","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","VITOR CURVELO FONTES BELEM","4T3456","13","25","12","REGULAR","03/02/2022","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE TESE III","DMAR0058","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","MARIA JOSE NASCIMENTO SOARES","6M34","9","12","9","REGULAR","17/07/2021","CONSOLIDADA","PRESENCIAL"
"CONCEITOS FUNDAMENTAIS DE FISIOLOGIA CELULAR E BIOQUÍMICA","FISIO0061","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","14/04/2021","MURILO MARCHIORO, CHARLES DOS SANTOS ESTEVAM, SANDRA LAUTON SANTOS","23M2345 4M2341","12","20","12","REGULAR","24/06/2021","CONSOLIDADA","PRESENCIAL"
"CONCEITOS FUNDAMENTAIS EM FISIOLOGIA: CONTROLE NEURAL E HUMORAL DOS SISTEMAS BIOLÓGICOS","FISIO0062","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","19/04/2021","19/05/2021","DANIEL BADAUE PASSOS JUNIOR, JOSE RONALDO DOS SANTOS, DANILO LUSTRINO BORGES","234M2345","15","20","13","REGULAR","13/07/2021","CONSOLIDADA","PRESENCIAL"
"CONCEITOS EM FARMACOLOGIA: MECANISMOS DE AÇÃO DOS FÁRMACOS NOS SISTEMAS BIOLÓGICOS","FISIO0063","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","24/05/2021","26/06/2021","ENILTON APARECIDO CAMARGO, RENATA GRESPAN","23M2345 4M3456","15","20","15","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DE ENSINO EM CIÊNCIAS FISIOLÓGICAS","FISIO0064","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","FELIPE JOSE AIDAR MARTINS","4T12","9","20","9","REGULAR","01/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS I","FISIO0052","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSIMARI MELO DE SANTANA","6M6","13","15","13","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS III","FISIO0054","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSIMARI MELO DE SANTANA","6T2","4","15","4","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS AVANÇADOS EM CIÊNCIAS FISIOLÓGICAS IV","FISIO0055","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSIMARI MELO DE SANTANA","6T3","7","15","7","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE MESTRADO EM CIÊNCIAS FISIOLÓGICAS I","FISIO0042","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSIMARI MELO DE SANTANA","6M2","7","15","7","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE MESTRADO EM CIÊNCIAS FISIOLÓGICAS III","FISIO0044","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSIMARI MELO DE SANTANA","6M4","4","15","4","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE MESTRADO EM CIÊNCIAS FISIOLÓGICAS IV","FISIO0045","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","JOSIMARI MELO DE SANTANA","6M5","3","15","3","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"BIOESTATÍSTICA","FISIO0085","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","04/05/2021","10/06/2021","HECTOR JULIAN TEJADA HERRERA","36T56","7","20","7","REGULAR","18/07/2021","CONSOLIDADA","PRESENCIAL"
"TRANSIÇÕES DE FASE E FENÔMENOS CRÍTICOS","FISIC0191","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANDRE MAURICIO CONCEICAO DE SOUZA","35M34","3","3","3","REGULAR","24/07/2021","CONSOLIDADA","PRESENCIAL"
"INFORMAÇÃO QUÂNTICA","FISIC0193","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ANDRE MAURICIO CONCEICAO DE SOUZA","35M56","3","3","3","REGULAR","24/07/2021","CONSOLIDADA","PRESENCIAL"
"FUNDAMENTOS DA POLÍTICA SOCIAL","SERVI0013","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","NELMIRES FERREIRA DA SILVA","3M3456","12","19","11","REGULAR","19/07/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM POLÍTICA SOCIAL E SERVIÇO SOCIAL","SERVI0038","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ROMERO JUNIOR VENANCIO SILVA","4T2345","8","19","6","REGULAR","20/12/2021","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM POLÍTICA SOCIAL E SERVIÇO SOCIAL","SERVI0038","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","VANIA CARVALHO SANTOS","2T2345","12","19","12","REGULAR","12/07/2021","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DE PESQUISA E REDAÇÃO DE ARTIGOS CIENTÍFICOS","QUIMI0122","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","ALBERTO WISNIEWSKI JUNIOR","4T3456","10","15","9","REGULAR","16/07/2021","CONSOLIDADA","PRESENCIAL"
"MÉTODOS DE SEPARAÇÃO II: CROMATOGRAFIA LÍQUIDA","QUIMI0138","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2021","1","15/03/2021","26/06/2021","SANDRO NAVICKIENE","25T12","10","15","10","REGULAR","05/07/2021","CONSOLIDADA","PRESENCIAL"
